page_id	source_pdf	source_scan_page	edition_volume	edition_pdf	entry_start_pdf_page
01-001	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	1	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	5
01-002	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	2	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	5
01-003	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	3	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	6
01-004	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	4	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	6
01-005	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	5	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	7
01-006	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	6	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	8
02-001	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	1	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	10
02-002	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	2	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	10
02-003	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	3	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	10
02-004	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	4	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	11
03-001	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	1	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	12
03-002	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	2	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	12
03-003	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	3	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	12
03-004	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	4	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	13
03-005	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	5	I	George-Douglas-Annotated-Transcription-Volume-I.pdf	13
04-001	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	1	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	4
04-002	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	4
04-003	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	3	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	5
04-004	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	5
04-005	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	6
04-006	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	6	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	7
04-007	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	7	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	7
04-008	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	8	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	8
04-009	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	9	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	8
04-010	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	10	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	9
04-011	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	11	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	9
04-012	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	12	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	10
04-013	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	13	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	10
04-014	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	14	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	11
04-015	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	15	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	12
04-016	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	16	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	12
04-017	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	17	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	12
04-018	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	18	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	13
04-019	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	19	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	14
04-020	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	20	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	14
04-021	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	21	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	15
04-022	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	22	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	15
04-023	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	23	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	15
04-024	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	24	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	16
04-025	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	25	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	16
04-026	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	26	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	17
04-027	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	27	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	17
04-028	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	28	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	18
04-029	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	29	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	18
04-030	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	30	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	18
04-031	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	31	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	19
04-032	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	32	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	19
04-033	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	33	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	20
04-034	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	34	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	20
04-035	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	35	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	21
04-036	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	36	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	21
04-037	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	37	II	George-Douglas-Annotated-Transcription-Volume-II.pdf	21
